date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2014-02-06,Taro Daniel,Federico Delbonis,,,RH,LH,M
2014-02-06,Fabio Fognini,Aljaz Bedene,,,RH,RH,M
2014-02-07,Fabio Fognini,Jeremy Chardy,,,RH,RH,M
2014-02-07,Nicolas Almagro,Taro Daniel,,,RH,RH,M
2014-02-08,Leonardo Mayer,Santiago Giraldo,,,RH,RH,M
2014-02-08,Fabio Fognini,Nicolas Almagro,,,RH,RH,M
2014-02-09,Fabio Fognini,Leonardo Mayer,,,RH,RH,M
2014-02-03,Marin Cilic,Mate Delic,,,RH,RH,M
2014-02-04,Michael Berrer,Borna Coric,,,LH,RH,M
2014-02-05,Dudi Sela,Lukas Rosol,,,RH,RH,M
2014-02-05,Marin Cilic,Dusan Lajovic,,,RH,RH,M
2014-02-06,Dudi Sela,Lukas Lacko,,,RH,RH,M
2014-02-06,Philipp Kohlschreiber,Andrey Golubev,,,RH,RH,M
2014-02-06,Ivan Dodig,Ivo Karlovic,,,RH,RH,M
2014-02-06,Tommy Haas,Benjamin Becker,,,RH,RH,M
2014-02-07,Marin Cilic,Ivan Dodig,,,RH,RH,M
2014-02-09,Marin Cilic,Tommy Haas,,,RH,RH,M
2014-02-10,Marcel Granollers,Aljaz Bedene,,,RH,RH,M
2014-02-10,Carlos Berlocq,Joao Sousa,,,RH,RH,M
2014-02-11,Pablo Andujar,Federico Delbonis,,,RH,LH,M
2014-02-11,Fabio Fognini,Julian Reister,,,RH,RH,M
2014-02-11,Santiago Giraldo,Albert Montanes,,,RH,RH,M
2014-02-11,Filippo Volandri,Cristian Garin,,,RH,RH,M
2014-02-11,David Ferrer,Maximo Gonzalez,,,RH,RH,F
2014-02-12,Albert Ramos,Juan Monaco,,,LH,RH,M
2014-02-12,Jeremy Chardy,Alejandro Gonzalez,,,RH,RH,M
2014-02-12,Nicolas Almagro,Horacio Zeballos,,,RH,LH,M
2014-02-12,Pablo Andujar,Marcel Granollers,,,RH,RH,M
2014-02-12,Tommy Robredo,Guido Pella,,,RH,LH,M
2014-02-12,Fabio Fognini,Leonardo Mayer,,,RH,RH,M
2014-02-13,Robin Haase,Carlos Berlocq,,,RH,RH,M
2014-02-13,David Ferrer,Santiago Giraldo,,,RH,RH,M
2014-02-14,Albert Ramos,Filippo Volandri,,,LH,RH,M
2014-02-14,Tommy Robredo,Robin Haase,,,RH,RH,M
2014-02-14,Fabio Fognini,Pablo Andujar,,,RH,RH,M
2014-02-14,David Ferrer,Albert Ramos,,,RH,LH,M
2014-02-15,Nicolas Almagro,Jeremy Chardy,,,RH,RH,M
2014-02-15,Fabio Fognini,Tommy Robredo,,,RH,RH,M
2014-02-15,David Ferrer,Nicolas Almagro,,,RH,RH,M
2014-02-16,David Ferrer,Fabio Fognini,,,RH,RH,M
2014-02-10,Jiri Vesely,Marinko Matosevic,,,LH,RH,M
2014-02-10,Michael Russell,Michal Przysiezny,,,RH,RH,M
2014-02-11,Tim Smyczek,Nick Kyrgios,,,RH,RH,M
2014-02-11,Ivo Karlovic,Matthew Ebden,,,RH,RH,M
2014-02-11,Mikhail Kukushkin,Teymuraz Gabashvili,,,RH,RH,M
2014-02-11,Marcos Baghdatis,Rajeev Ram,,,RH,RH,M
2014-02-11,Benjamin Becker,Lukas Lacko,,,RH,RH,M
2014-02-11,Jack Sock,Adrian Mannarino,,,RH,LH,M
2014-02-12,Denis Kudla,Donald Young,,,RH,LH,M
2014-02-12,Michael Russell,Tim Smyczek,,,RH,RH,M
2014-02-12,Jack Sock,Jiri Vesely,,,RH,LH,M
2014-02-13,Kei Nishikori,Benjamin Becker,,,RH,RH,M
2014-02-14,Lleyton Hewitt,Marcos Baghdatis,,,RH,RH,M
2014-02-14,Ivo Karlovic,Feliciano Lopez,,,RH,LH,M
2014-02-14,Michael Russell,Lleyton Hewitt,,,RH,RH,M
2014-02-15,Ivo Karlovic,Jack Sock,,,RH,RH,M
2014-02-15,Kei Nishikori,Michael Russell,,,RH,RH,M
2014-02-16,Kei Nishikori,Ivo Karlovic,,,RH,RH,M
2014-02-10,Tomas Berdych,Andreas Seppi,,,RH,RH,M
2014-02-10,Philipp Kohlschreiber,Sergiy Stakhovsky,,,RH,RH,M
2014-02-11,Ernests Gulbis,Denis Istomin,,,RH,RH,M
2014-02-11,Marin Cilic,Lukas Rosol,,,RH,RH,M
2014-02-11,Grigor Dimitrov,Dmitry Tursunov,,,RH,RH,M
2014-02-11,Jerzy Janowicz,Julien Benneteau,,,RH,RH,M
2014-02-12,Tommy Haas,Fernando Verdasco,,,RH,LH,M
2014-02-12,Dominic Thiem,Jarkko Nieminen,,,RH,LH,M
2014-02-12,Richard Gasquet,Thiemo De Bakker,,,RH,RH,M
2014-02-13,Ernests Gulbis,Grigor Dimitrov,,,RH,RH,M
2014-02-13,Jerzy Janowicz,Tommy Haas,,,RH,RH,M
2014-02-13,Tomas Berdych,Nicolas Mahut,,,RH,RH,M
2014-02-13,Philipp Kohlschreiber,Richard Gasquet,,,RH,RH,M
2014-02-13,Andy Murray,Dominic Thiem,,,RH,RH,M
2014-02-14,Tomas Berdych,Jerzy Janowicz,,,RH,RH,M
2014-02-14,Marin Cilic,Andy Murray,,,RH,RH,M
2014-02-15,Tomas Berdych,Ernests Gulbis,,,RH,RH,M
2014-02-16,Tomas Berdych,Marin Cilic,,,RH,RH,M
2014-02-17,Adrian Mannarino,Jack Sock,,,LH,RH,M
2014-02-18,Feliciano Lopez,Sam Querrey,,,LH,RH,M
